Iteracion;Tipo;Tiempo (s)
688;GET;0,1144
688;POST;1,5649
689;GET;0,1254
689;POST;1,5203
690;GET;0,1162
690;POST;1,5722
691;GET;0,1232
691;POST;1,5723
692;GET;0,1357
692;POST;1,4678
693;GET;0,1203
693;POST;1,5529
694;GET;0,1483
694;POST;1,5423
695;GET;0,1334
695;POST;1,5998
696;GET;0,1322
696;POST;1,5826
697;GET;0,1312
697;POST;1,5573
698;GET;0,1288
698;POST;1,5345
699;GET;0,1381
699;POST;1,5942
700;GET;0,1389
700;POST;1,6409
701;GET;0,1337
701;POST;1,5384
702;GET;0,1226
702;POST;1,5287
