Iteracion;Tipo;Tiempo (s)
429;GET;0,139
429;POST;1,532
430;GET;0,1243
430;POST;1,5467
431;GET;0,1275
431;POST;1,6022
432;GET;0,1223
432;POST;1,601
433;GET;0,1302
433;POST;1,562
434;GET;0,1311
434;POST;1,6037
435;GET;0,126
435;POST;1,5765
436;GET;0,1229
436;POST;1,524
437;GET;0,1209
437;POST;1,5263
438;GET;0,1344
438;POST;1,6595
439;GET;0,1197
439;POST;1,5698
440;GET;0,1227
440;POST;1,6216
441;GET;0,1279
441;POST;1,6004
442;GET;0,1367
442;POST;1,5655
443;GET;0,1438
443;POST;1,5769
444;GET;0,134
444;POST;1,5769
445;GET;0,1269
445;POST;1,6299
446;GET;0,1203
446;POST;1,5385
447;GET;0,1202
447;POST;1,5648
448;GET;0,1319
448;POST;1,5276
449;GET;0,1184
449;POST;1,5359
450;GET;0,1263
450;POST;1,6502
451;GET;0,1301
451;POST;1,6019
452;GET;0,1271
452;POST;1,6093
453;GET;0,1292
453;POST;1,6253
454;GET;0,1272
454;POST;1,5765
455;GET;0,1224
455;POST;1,5776
456;GET;0,1271
456;POST;1,5361
457;GET;0,1238
457;POST;1,5754
458;GET;0,1312
458;POST;1,6138
459;GET;0,1382
459;POST;1,5465
460;GET;0,1314
460;POST;1,5668
461;GET;0,1271
461;POST;1,5844
462;GET;0,1295
462;POST;1,5703
463;GET;0,1194
463;POST;1,5842
464;GET;0,1313
464;POST;1,5431
465;GET;0,1251
465;POST;1,6148
466;GET;0,1401
466;POST;1,5595
467;GET;0,1218
467;POST;1,5501
468;GET;0,1278
468;POST;1,6094
469;GET;0,1226
469;POST;1,5714
470;GET;0,1366
470;POST;1,5192
471;GET;0,1308
471;POST;1,558
472;GET;0,118
472;POST;1,5001
473;GET;0,1213
473;POST;1,6096
474;GET;0,1303
474;POST;1,5779
475;GET;0,119
475;POST;1,5478
476;GET;0,1244
476;POST;1,6355
477;GET;0,1285
477;POST;1,5684
478;GET;0,1338
478;POST;1,5632
479;GET;0,126
479;POST;1,6231
480;GET;0,1181
480;POST;1,5457
481;GET;0,1343
481;POST;1,5938
482;GET;0,135
482;POST;1,5362
483;GET;0,1351
483;POST;1,7278
484;GET;0,1221
484;POST;1,4944
485;GET;0,1269
485;POST;1,6306
486;GET;0,1193
486;POST;1,5564
487;GET;0,1276
487;POST;1,557
488;GET;0,1214
488;POST;1,5466
489;GET;0,1327
489;POST;1,5417
490;GET;0,1213
490;POST;1,572
491;GET;0,1256
491;POST;1,641
492;GET;0,1264
492;POST;1,604
493;GET;0,1154
493;POST;1,5742
494;GET;0,1363
494;POST;1,5388
495;GET;0,125
495;POST;1,5483
496;GET;0,1248
496;POST;1,6229
497;GET;0,1298
497;POST;1,5706
498;GET;0,1334
498;POST;1,5979
499;GET;0,1233
499;POST;1,5586
500;GET;0,1173
500;POST;1,5841
501;GET;0,1742
501;POST;1,5908
502;GET;0,135
502;POST;1,6197
503;GET;0,1443
503;POST;1,5646
504;GET;0,1304
504;POST;1,5414
505;GET;0,132
505;POST;1,5707
506;GET;0,1389
506;POST;1,6424
507;GET;0,1363
507;POST;1,6186
508;GET;0,1287
508;POST;1,582
509;GET;0,1403
509;POST;1,5644
510;GET;0,1399
510;POST;1,5468
511;GET;0,1491
511;POST;1,5555
512;GET;0,1412
512;POST;1,5615
513;GET;0,1463
513;POST;1,6118
514;GET;0,1406
514;POST;1,5916
515;GET;0,1379
515;POST;1,6687
516;GET;0,1442
516;POST;1,5622
517;GET;0,1496
517;POST;1,5735
518;GET;0,1409
518;POST;1,6074
519;GET;0,1496
519;POST;1,5894
520;GET;0,1315
520;POST;1,5944
521;GET;0,4129
521;POST;1,6326
522;GET;0,1461
522;POST;1,6381
523;GET;0,1389
523;POST;1,6266
524;GET;0,1356
524;POST;1,5417
525;GET;0,1476
525;POST;1,5829
526;GET;0,1452
